chrom	start	end	gene	strand	fixed_alu	category	tss	gene_density	recomb_cM_Mb
chr12	1686574	1690574	ADIPOR2	+	4	Housekeeping	1688574	6.0	2.096047491152797
chr12	6491841	6495841	MRPL51	-	0	Housekeeping	6493841	41.0	0.6997407551752133
chr12	6532512	6536512	GAPDH	+	0	Housekeeping	6534512	42.0	0.5675271057068798
chr12	6765475	6769475	MLF2	-	0	Housekeeping	6767475	45.0	3.7266258988980994
chr12	6865119	6869119	TPI1	+	1	Housekeeping	6867119	44.0	3.0455766136218543
chr12	8030716	8034716	FOXJ2	+	4	Housekeeping	8032716	16.0	3.444759653373417
chr12	8947761	8951761	M6PR	-	1	Housekeeping	8949761	11.0	0.22499797948700717
chr12	12811316	12815316	DDX47	+	3	Housekeeping	12813316	14.0	2.65962212755408
chr12	15880387	15884387	STRAP	+	1	Housekeeping	15882387	4.0	0.9888740087576764
chr12	22044218	22048218	CMAS	+	1	Housekeeping	22046218	7.0	2.255576580037868
chr12	27020546	27024546	MED21	+	2	Housekeeping	27022546	8.0	0.3768700092206245
chr12	42324257	42328257	ZCRB1	-	1	Housekeeping	42326257	4.0	0.15714887629947327
chr12	46370773	46374773	SLC38A2	-	0	Housekeeping	46372773	3.0	0.1420915557622493
chr12	48850842	48854842	DDX23	-	4	Housekeeping	48852842	31.0	1.0221167437155998
chr12	49566145	49570145	MCRS1	-	3	Housekeeping	49568145	24.0	0.18802838835732416
chr12	49705725	49709725	TMBIM6	+	1	Housekeeping	49707725	22.0	0.24500048848345557
chr12	51081664	51085664	CSRNP2	-	4	Housekeeping	51083664	15.0	0.22650822846472352
chr12	52067246	52071246	ATG101	+	4	Housekeeping	52069246	23.0	1.565580245433864
chr12	53004282	53008282	EIF4B	+	2	Housekeeping	53006282	36.0	2.538593288857811
chr12	53077404	53081404	SPRYD3	-	4	Housekeeping	53079404	34.0	1.422262738749538
chr12	53293291	53297291	PFDN5	+	4	Housekeeping	53295291	32.0	0.2370948709811671
chr12	53378176	53382176	SP1	+	2	Housekeeping	53380176	28.0	0.12282137731915554
chr12	53450102	53454102	PCBP2	+	5	Housekeeping	53452102	27.0	0.1986997575917826
chr12	53725745	53729745	CALCOCO1	-	0	Housekeeping	53727745	29.0	2.4365075687873627
chr12	55727707	55731707	CD63	-	2	Housekeeping	55729707	43.0	1.4245732126916266
chr12	55815724	55819724	SARNP	-	1	Housekeeping	55817724	46.0	1.1029404530330567
chr12	56102537	56106537	PA2G4	+	1	Housekeeping	56104537	47.0	0.30735522260187054
chr12	56114590	56118590	RPL41	+	3	Housekeeping	56116590	47.0	0.2980149509635055
chr12	56116250	56120250	ESYT1	+	0	Housekeeping	56118250	47.0	0.2958128222203982
chr12	56156346	56160346	MYL6	+	4	Housekeeping	56158346	48.0	0.12021405710783029
chr12	56256384	56260384	ANKRD52	-	3	Housekeeping	56258384	46.0	0.12420349300214184
chr12	56686408	56690408	PTGES3	-	6	Housekeeping	56688408	35.0	0.05816572931323094
chr12	56729628	56733628	NACA	-	9	Housekeeping	56731628	33.0	0.11964643150207621
chr12	57545224	57549224	DCTN2	-	0	Housekeeping	57547224	38.0	0.5819571871681717
chr12	57691841	57695841	OS9	+	2	Housekeeping	57693841	33.0	0.27891830664586337
chr12	57754013	57758013	CDK4	-	1	Housekeeping	57756013	29.0	0.27979665572090084
chr12	57844729	57848729	CTDSP2	-	1	Housekeeping	57846729	28.0	0.2613796242305
chr12	64402392	64406392	XPOT	+	5	Housekeeping	64404392	7.0	0.12811200945478163
chr12	66168027	66172027	TMBIM4	-	3	Housekeeping	66170027	5.0	0.23592558337213632
chr12	67267358	67271358	CAND1	+	1	Housekeeping	67269358	2.0	0.8993579390912032
chr12	69583426	69587426	CCT2	+	3	Housekeeping	69585426	9.0	1.0161196495444358
chr12	74535835	74539835	ATXN7L3B	+	2	Housekeeping	74537835	0.0	0.39764451076038654
chr12	76082735	76086735	NAP1L1	-	0	Housekeeping	76084735	3.0	11.589887670130707
chr12	92143846	92147846	BTG1	-	0	Housekeeping	92145846	0.0	0.7397907481359312
chr12	95001748	95005748	NDUFA12	-	5	Housekeeping	95003748	5.0	0.4842445356196379
chr12	95856952	95860952	SNRPF	+	2	Housekeeping	95858952	8.0	0.47492806263505827
chr12	98591591	98595591	SLC25A3	+	2	Housekeeping	98593591	3.0	0.5956681022395571
chr12	101405772	101409772	ARL1	-	2	Housekeeping	101407772	8.0	1.0629041648628856
chr12	102060149	102064149	WASHC3	-	4	Housekeeping	102062149	9.0	0.07195678699844166
chr12	103928107	103932107	HSP90B1	+	1	Housekeeping	103930107	10.0	0.4708632694314474
chr12	104136241	104140241	NFYB	-	2	Housekeeping	104138241	9.0	0.2733373616455026
chr12	107683799	107687799	PWP1	+	4	Housekeeping	107685799	4.0	1.0469736087415527
chr12	107759272	107763272	PRDM4	-	3	Housekeeping	107761272	4.0	1.699584955214135
chr12	108559400	108563400	SART3	-	1	Housekeeping	108561400	11.0	0.6393393263212488
chr12	108560582	108564582	ISCU	+	0	Housekeeping	108562582	11.0	0.6071320290972437
chr12	109475359	109479359	KCTD10	-	2	Housekeeping	109477359	14.0	0.19901164606380917
chr12	110448422	110452422	ARPC3	-	5	Housekeeping	110450422	15.0	0.09704881161297862
chr12	110467268	110471268	GPN3	-	5	Housekeeping	110469268	15.0	0.10146535595310979
chr12	110500111	110504111	VPS29	-	2	Housekeeping	110502111	13.0	0.11624411815915892
chr12	110581318	110585318	PPTC7	-	2	Housekeeping	110583318	14.0	0.05379534475451919
chr12	110740939	110744939	PPP1CC	-	0	Housekeeping	110742939	13.0	0.08399084247997735
chr12	112011348	112015348	ERP29	+	4	Housekeeping	112013348	13.0	0.03399028767319123
chr12	117188470	117192470	FBXO21	-	3	Housekeeping	117190470	6.0	0.805340529084333
chr12	118060430	118064430	WSB2	-	1	Housekeeping	118062430	6.0	3.3948458454432284
chr12	118134124	118138124	PEBP1	+	7	Housekeeping	118136124	6.0	0.5775761751647224
chr12	120115502	120119502	RAB35	-	2	Housekeeping	120117502	19.0	0.7713914287245416
chr12	120192715	120196715	GCN1	-	8	Housekeeping	120194715	20.0	0.2237972182950898
chr12	120199235	120203235	RPLP0	-	5	Housekeeping	120201235	20.0	0.21345857916600153
chr12	120436090	120440090	COX6A1	+	6	Housekeeping	120438090	22.0	1.6948933643928399
chr12	120444384	120448384	TRIAP1	-	5	Housekeeping	120446384	22.0	1.5718252248120734
chr12	120467850	120471850	DYNLL1	+	6	Housekeeping	120469850	22.0	0.5719832490174781
chr12	120493946	120497946	SRSF9	-	2	Housekeeping	120495946	22.0	0.054583860333536904
chr12	120531480	120535480	RNF10	+	7	Housekeeping	120533480	23.0	0.04252499248082131
chr12	120685149	120689149	MLEC	+	1	Housekeeping	120687149	24.0	0.5368963711987362
chr12	120902358	120906358	SPPL3	-	1	Housekeeping	120904358	22.0	0.32329233099517296
chr12	122525000	122529000	RSRC2	-	4	Housekeeping	122527000	21.0	0.09161467543748358
chr12	122894127	122898127	VPS37B	-	2	Housekeeping	122896127	19.0	0.8776472465598317
chr12	123270334	123274334	CDK2AP1	-	4	Housekeeping	123272334	21.0	0.12060899884716036
chr12	123456088	123460088	SNRNP35	+	10	Housekeeping	123458088	18.0	2.94452143608396
chr12	123582533	123586533	TMED2	+	6	Housekeeping	123584533	18.0	0.5026785377035026
chr12	124915368	124919368	UBC	-	4	Housekeeping	124917368	6.0	3.0638281083119523
chr12	131709081	131713081	SFSWAP	+	0	Housekeeping	131711081	6.0	0.6045346020832199
chr12	131892622	131896622	ULK1	+	0	Housekeeping	131894622	7.0	1.6019466369297675
chr12	132142319	132146319	DDX51	-	0	Housekeeping	132144319	10.0	0.9170210638404797
chr12	132708819	132712819	PGAM5	+	6	Housekeeping	132710819	17.0	1.0739113349413287
chr12	132827143	132831143	GOLGA3	-	4	Housekeeping	132829143	18.0	0.1723145297478368
chr13	19631659	19635659	MPHOSPH8	+	2	Housekeeping	19633659	5.0	0.1321819217180542
chr13	21138119	21142119	SAP18	+	5	Housekeeping	21140119	8.0	3.0029130741931986
chr13	21174658	21178658	MRPL57	+	6	Housekeeping	21176658	9.0	0.8002899047287837
chr13	25299524	25303524	NUP58	+	1	Housekeeping	25301524	5.0	0.6267771745871187
chr13	26220314	26224314	RNF6	-	1	Housekeeping	26222314	3.0	2.141688275862066
chr13	27169811	27173811	USP12	-	1	Housekeeping	27171811	7.0	0.3642587267055575
chr13	27249362	27253362	RPL21	+	1	Housekeeping	27251362	7.0	0.24614657460993783
chr13	27422619	27426619	GTF3A	+	2	Housekeeping	27424619	8.0	2.940816579592216
chr13	27618742	27622742	POLR1D	+	0	Housekeeping	27620742	11.0	0.5743923862677391
chr13	29848617	29852617	UBL3	-	0	Housekeeping	29850617	2.0	0.7808239310428888
chr13	30615597	30619597	HMGB1	-	0	Housekeeping	30617597	6.0	0.8368365589667448
chr13	30615693	30619693	USPL1	+	0	Housekeeping	30617693	6.0	0.8298790862132321
chr13	45118510	45122510	GTF2F2	+	3	Housekeeping	45120510	7.0	0.3187999598502955
chr13	45339284	45343284	TPT1	-	4	Housekeeping	45341284	8.0	1.0033865311810786
chr13	46795420	46799420	ESD	-	1	Housekeeping	46797420	3.0	3.456495408096103
chr13	48035726	48039726	NUDT15	+	3	Housekeeping	48037726	6.0	0.13936807881769653
chr13	48093131	48097131	MED4	-	2	Housekeeping	48095131	6.0	0.22607709990083436
chr13	48230612	48234612	ITM2B	+	0	Housekeeping	48232612	7.0	0.3077763668144229
chr13	52448634	52452634	VPS36	-	3	Housekeeping	52450634	11.0	0.047269244352534656
chr13	52650709	52654709	SUGT1	+	0	Housekeeping	52652709	8.0	0.07202825133887814
chr13	75547439	75551439	COMMD6	-	1	Housekeeping	75549439	3.0	0.3980972492307444
chr13	97951658	97955658	IPO5	+	5	Housekeeping	97953658	2.0	2.2281036443577307
chr13	98575940	98579940	STK24	-	0	Housekeeping	98577940	3.0	2.8858149681011014
chr13	102594958	102598958	TPP2	+	1	Housekeeping	102596958	10.0	0.6966685003456519
chr13	110913069	110917069	ANKRD10	-	0	Housekeeping	110915069	6.0	1.1473382182927594
chr13	113206715	113210715	PCID2	-	0	Housekeeping	113208715	13.0	0.2234680313414117
chr13	113295239	113299239	LAMP1	+	2	Housekeeping	113297239	14.0	2.3792492392439613
chr13	113582721	113586721	TFDP1	+	0	Housekeeping	113584721	15.0	0.15610191245784222
chr13	114232887	114236887	CDC16	+	0	Housekeeping	114234887	7.0	0.2271545020212784
chr14	20459465	20463465	PIP4P1	-	2	Housekeeping	20461465	34.0	6.344355509306925
chr14	21474960	21478960	RAB2B	-	3	Housekeeping	21476960	22.0	3.048441053815285
chr14	22587224	22591224	DAD1	-	3	Housekeeping	22589224	17.0	4.338756525382834
chr14	22596290	22600290	ABHD4	+	3	Housekeeping	22598290	19.0	4.547634386077917
chr14	23033230	23037230	PSMB5	-	7	Housekeeping	23035230	35.0	1.924591263571056
chr14	23093505	23097505	C14orf119	+	2	Housekeeping	23095505	38.0	3.2995576008204175
chr14	23296790	23300790	BCL2L2	+	1	Housekeeping	23298790	36.0	1.157258224322586
chr14	23304833	23308833	BCL2L2-PABPN1	+	2	Housekeeping	23306833	36.0	1.3292987608729767
chr14	23319457	23323457	PABPN1	+	0	Housekeeping	23321457	36.0	1.4285054576561151
chr14	23467679	23471679	NGDN	+	3	Housekeeping	23469679	29.0	1.542880698230693
chr14	24112195	24116195	DCAF11	+	0	Housekeeping	24114195	44.0	3.383247059501606
chr14	24134163	24138163	PSME1	+	3	Housekeeping	24136163	44.0	1.6533378378037256
chr14	24145570	24149570	PSME2	-	1	Housekeeping	24147570	44.0	1.6943177367371476
chr14	24211830	24215830	CHMP4A	-	6	Housekeeping	24213830	44.0	1.1481367559578715
chr14	24230352	24234352	NEDD8-MDP1	-	3	Housekeeping	24232352	44.0	1.225753053728873
chr14	24230367	24234367	NEDD8	-	3	Housekeeping	24232367	44.0	1.2262893797076302
chr14	24297850	24301850	NOP9	+	2	Housekeeping	24299850	44.0	1.6163298471469822
chr14	24427286	24431286	KHNYN	+	0	Housekeeping	24429286	44.0	3.57887172254463
chr14	31024401	31028401	STRN3	-	2	Housekeeping	31026401	10.0	0.2691566168728343
chr14	31205804	31209804	HECTD1	-	2	Housekeeping	31207804	8.0	0.6123152825156097
chr14	34537704	34541704	EAPP	-	3	Housekeeping	34539704	6.0	0.3217732961392272
chr14	35276633	35280633	PSMA6	+	6	Housekeeping	35278633	8.0	0.1160644226131069
chr14	39173183	39177183	PNN	+	4	Housekeeping	39175183	5.0	0.29508299745344857
chr14	49597164	49601164	RPS29	-	3	Housekeeping	49599164	9.0	0.2115531646079205
chr14	49618626	49622626	RPL36AL	-	1	Housekeeping	49620626	10.0	0.21485058438166504
chr14	50666306	50670306	SAV1	-	0	Housekeeping	50668306	10.0	0.32153732191261497
chr14	51987514	51991514	RTRAF	+	1	Housekeeping	51989514	4.0	1.5403784710061785
chr14	55049647	55053647	MAPK1IP1L	+	2	Housekeeping	55051647	9.0	0.31112232073489565
chr14	55557072	55561072	KTN1	+	2	Housekeeping	55559072	5.0	0.7339571677907486
chr14	58242843	58246843	PSMA3	+	1	Housekeeping	58244843	8.0	0.07370878979322981
chr14	60732742	60736742	MNAT1	+	1	Housekeeping	60734742	8.0	0.10456564959305581
chr14	63541377	63545377	PPP2R5E	-	0	Housekeeping	63543377	6.0	1.2588559826627232
chr14	67358328	67362328	EIF2S1	+	2	Housekeeping	67360328	14.0	0.3039762416686642
chr14	67672820	67676820	VTI1B	-	4	Housekeeping	67674820	14.0	0.184821385592997
chr14	68794253	68798253	ZFP36L1	-	0	Housekeeping	68796253	4.0	0.7421743638030165
chr14	69151150	69155150	DCAF5	-	0	Housekeeping	69153150	9.0	0.08457663260294623
chr14	69396299	69400299	ERH	-	3	Housekeeping	69398299	11.0	0.48246307696949486
chr14	69609596	69613596	SUSD6	+	1	Housekeeping	69611596	10.0	0.28955014478540875
chr14	73056532	73060532	RBM25	+	4	Housekeeping	73058532	8.0	0.09762108271701209
chr14	73464167	73468167	NUMB	-	2	Housekeeping	73466167	18.0	0.39279445276875435
chr14	74491756	74495756	ISCA2	+	0	Housekeeping	74493756	17.0	0.6827932156571137
chr14	74711144	74715144	FCF1	+	3	Housekeeping	74713144	19.0	0.07481328507950025
chr14	74879891	74883891	DLST	+	4	Housekeeping	74881891	17.0	0.1452665614752391
chr14	75174612	75178612	TMED10	-	2	Housekeeping	75176612	18.0	1.1261108391967412
chr14	77096126	77100126	CIPC	+	1	Housekeeping	77098126	16.0	1.292713783277435
chr14	77455870	77459870	AHSA1	+	0	Housekeeping	77457870	18.0	0.7335331611922413
chr14	77706071	77710071	SLIRP	+	1	Housekeeping	77708071	14.0	0.13739811105139665
chr14	92119917	92123917	NDUFB1	-	7	Housekeeping	92121917	8.0	0.4412039319497296
chr14	92792305	92796305	GOLGA5	+	2	Housekeeping	92794305	11.0	0.7864670105058735
chr14	93114320	93118320	ITPK1	-	4	Housekeeping	93116320	12.0	0.9532311575281938
chr14	93182923	93186923	MOAP1	-	2	Housekeeping	93184923	11.0	1.5273106672525216
chr14	96499433	96503433	PAPOLA	+	4	Housekeeping	96501433	8.0	0.5371957999227561
chr14	99478889	99482889	SETD3	-	0	Housekeeping	99480889	7.0	1.5983632534980075
chr14	103713730	103717730	ZFYVE21	+	2	Housekeeping	103715730	16.0	0.25931322453629946
chr14	105246533	105250533	BTBD6	+	1	Housekeeping	105248533	20.0	0.8150070324590786
chr15	34099862	34103862	EMC7	-	2	Housekeeping	34101862	11.0	3.668338841709229
chr15	34223013	34227013	EMC4	+	7	Housekeeping	34225013	11.0	0.282218683212605
chr15	40037181	40041181	SRP14	-	1	Housekeeping	40039181	18.0	1.3092773590172868
chr15	41406408	41410408	RTF1	+	9	Housekeeping	41408408	19.0	0.012991575961365243
chr15	42206307	42210307	VPS39	-	0	Housekeeping	42208307	19.0	0.06067382502585872
chr15	42271534	42275534	TMEM87A	-	2	Housekeeping	42273534	20.0	0.04865130207278412
chr15	43744394	43748394	PDIA3	+	2	Housekeeping	43746394	22.0	0.03677671720645037
chr15	43775087	43779087	SERF2	+	5	Housekeeping	43777087	21.0	0.028460874052029794
chr15	43822690	43826690	MFAP1	-	9	Housekeeping	43824690	21.0	0.04456080643173266
chr15	44535125	44539125	EIF3J	+	3	Housekeeping	44537125	9.0	0.08253239025613368
chr15	48329011	48333011	DUT	+	3	Housekeeping	48331011	6.0	0.4067029869787575
chr15	48876134	48880134	EID1	+	0	Housekeeping	48878134	6.0	0.9876403206890672
chr15	49044447	49048447	SECISBP2L	-	0	Housekeeping	49046447	7.0	0.12016143899053588
chr15	49153661	49157661	COPS2	-	0	Housekeeping	49155661	8.0	0.05153631071380005
chr15	52567883	52571883	ARPP19	-	5	Housekeeping	52569883	6.0	0.9372541233359044
chr15	55195049	55199049	RSL24D1	-	0	Housekeeping	55197049	7.0	0.6742781262923359
chr15	58931679	58935679	SLTM	-	3	Housekeeping	58933679	8.0	0.19897927523942371
chr15	64092123	64096123	SNX1	+	1	Housekeeping	64094123	11.0	1.4619929692823064
chr15	64092262	64096262	CIAO2A	-	1	Housekeeping	64094262	11.0	1.4322755198465131
chr15	64161134	64165134	PPIB	-	5	Housekeeping	64163134	10.0	0.15537288236600943
chr15	64385748	64389748	TRIP4	+	6	Housekeeping	64387748	14.0	0.20095891790219866
chr15	64701281	64705281	OAZ2	-	1	Housekeeping	64703281	18.0	0.07096049429392792
chr15	65131808	65135808	PDCD7	-	6	Housekeeping	65133808	21.0	0.179326221893632
chr15	65183342	65187342	CLPX	-	5	Housekeeping	65185342	21.0	0.6428339200373046
chr15	65724054	65728054	RAB11A	+	8	Housekeeping	65726054	8.0	0.023285461362405613
chr15	66522532	66526532	RPL4	-	4	Housekeeping	66524532	8.0	0.5731237065427308
chr15	69450814	69454814	RPLP1	+	3	Housekeeping	69452814	4.0	0.40286648937822633
chr15	73632134	73636134	NPTN	-	2	Housekeeping	73634134	10.0	0.15235482337786266
chr15	74459182	74463182	UBL7	-	4	Housekeeping	74461182	24.0	0.34557232141651184
chr15	74936083	74940083	COX5A	-	6	Housekeeping	74938083	22.0	0.4015065899731951
chr15	75646706	75650706	IMP3	-	0	Housekeeping	75648706	16.0	1.2995438958070338
chr15	77081984	77085984	TSPAN3	-	3	Housekeeping	77083984	5.0	0.3630711408138154
chr15	78808487	78812487	MORF4L1	+	1	Housekeeping	78810487	11.0	0.6819351667191142
chr15	82807628	82811628	WHAMM	+	1	Housekeeping	82809628	14.0	0.257928614594789
chr15	82984210	82988210	RAMAC	+	5	Housekeeping	82986210	13.0	0.13565978901240783
chr15	83065252	83069252	BTBD1	-	3	Housekeeping	83067252	12.0	0.19491727716882679
chr15	84714460	84718460	SEC11A	-	2	Housekeeping	84716460	8.0	0.03425113671141844
chr15	88465390	88469390	MRPL46	-	1	Housekeeping	88467390	9.0	2.1848944098582024
chr15	89892638	89896638	AP3S2	-	4	Housekeeping	89894638	23.0	2.0038067326625253
chr15	89910882	89914882	ARPIN-AP3S2	-	3	Housekeeping	89912882	23.0	2.0922113529965713
chr15	90232047	90236047	CIB1	-	4	Housekeeping	90234047	19.0	0.7533805126945481
chr15	90263659	90267659	NGRN	+	4	Housekeeping	90265659	17.0	1.0062496972220458
chr15	90527923	90531923	CRTC3	+	3	Housekeeping	90529923	21.0	0.5296821942604879
chr15	90866588	90870588	FURIN	+	1	Housekeeping	90868588	12.0	5.486497749385393
chr15	101275500	101279500	SELENOS	-	4	Housekeeping	101277500	7.0	1.4698041265822326
chr16	232521	236521	FAM234A	+	10	Housekeeping	234521	39.0	1.535552201664726
chr16	369289	373289	MRPL28	-	0	Housekeeping	371289	45.0	1.3814664146736477
chr16	666100	670100	RHOT2	+	0	Housekeeping	668100	43.0	0.8595103503842727
chr16	1289444	1293444	UBE2I	+	7	Housekeeping	1291444	30.0	2.747926231964022
chr16	1349878	1353878	TSR3	-	2	Housekeeping	1351878	33.0	0.749311174476639
chr16	1825157	1829157	HAGH	-	3	Housekeeping	1827157	50.0	0.4948504386599639
chr16	1957538	1961538	NDUFB10	+	1	Housekeeping	1959538	45.0	2.4303239859352477
chr16	1962841	1966841	RPS2	-	3	Housekeeping	1964841	46.0	2.498360180563921
chr16	2221580	2225580	E4F1	+	10	Housekeeping	2223580	47.0	1.3819427128205053
chr16	2266397	2270397	RNPS1	-	1	Housekeeping	2268397	48.0	1.5552371803167198
chr16	2535979	2539979	PDPK1	+	4	Housekeeping	2537979	45.0	1.279993183013719
chr16	2680523	2684523	KCTD5	+	4	Housekeeping	2682523	45.0	2.416261365059711
chr16	2775289	2779289	ELOB	-	2	Housekeeping	2777289	41.0	2.5527718313218006
chr16	4353607	4357607	PAM16	-	7	Housekeeping	4355607	24.0	2.532855257745261
chr16	4418494	4422494	CORO7-PAM16	-	9	Housekeeping	4420494	23.0	0.2875956764566112
chr16	4423805	4427805	DNAJA3	+	5	Housekeeping	4425805	23.0	0.2703204362715006
chr16	4614493	4618493	MGRN1	+	5	Housekeeping	4616493	28.0	1.2238250482343993
chr16	4691562	4695562	NUDT16L1	+	0	Housekeeping	4693562	28.0	0.42681418131360616
chr16	10741786	10745786	NUBP1	+	3	Housekeeping	10743786	7.0	3.2454330492959826
chr16	10940468	10944468	DEXI	-	0	Housekeeping	10942468	12.0	3.145888117822473
chr16	11914082	11918082	GSPT1	-	3	Housekeeping	11916082	9.0	0.16582993665558377
chr16	14630931	14634931	BFAR	+	6	Housekeeping	14632931	9.0	0.252945427573934
chr16	14831721	14835721	NOMO1	+	3	Housekeeping	14833721	9.0	0.9465433111227384
chr16	14920802	14924802	NPIPA1	+	0	Housekeeping	14922802	12.0	0.11216121822151592
chr16	15092311	15096311	RRN3	-	7	Housekeeping	15094311	13.0	0.08661413853836564
chr16	18788383	18792383	RPS15A	-	4	Housekeeping	18790383	11.0	0.45323812786662643
chr16	19520123	19524123	GDE1	-	3	Housekeeping	19522123	10.0	0.14239356132279113
chr16	21446567	21450567	NPIPB3	-	1	Housekeeping	21448567	9.0	1.6146313567399773
chr16	21595218	21599218	METTL9	+	5	Housekeeping	21597218	13.0	0.4092850348667554
chr16	23519995	23523995	GGA2	-	4	Housekeeping	23521995	13.0	0.08610015482759081
chr16	23555721	23559721	UBFD1	+	3	Housekeeping	23557721	13.0	0.19552153495915547
chr16	23594316	23598316	NDUFAB1	-	6	Housekeeping	23596316	13.0	0.3073945339980355
chr16	25109731	25113731	LCMT1	+	3	Housekeeping	25111731	4.0	1.667631658695612
chr16	27266772	27270772	NSMCE1	-	2	Housekeeping	27268772	6.0	0.6220502493166435
chr16	28551915	28555915	SGF29	+	6	Housekeeping	28553915	25.0	0.07954201511616077
chr16	28948807	28952807	NFATC2IP	+	6	Housekeeping	28950807	21.0	0.41778682392610733
chr16	29804106	29808106	MAZ	+	0	Housekeeping	29806106	39.0	0.6058856882915364
chr16	29861414	29865414	CDIPT	-	2	Housekeeping	29863414	40.0	0.5822130029168449
chr16	29938885	29942885	TMEM219	+	8	Housekeeping	29940885	45.0	0.3300082671312765
chr16	30353308	30357308	CD2BP2	-	0	Housekeeping	30355308	48.0	0.07671025254659014
chr16	30368494	30372494	TBC1D10B	-	0	Housekeeping	30370494	47.0	0.0990249446681446
chr16	30428030	30432030	DCTPP1	-	3	Housekeeping	30430030	47.0	0.38075609468180005
chr16	30524821	30528821	ZNF768	-	1	Housekeeping	30526821	45.0	1.1242036620882345
chr16	30656431	30660431	FBRS	+	2	Housekeeping	30658431	47.0	0.1514609063151795
chr16	30892302	30896302	BCL7C	-	0	Housekeeping	30894302	45.0	0.21770620779221872
chr16	31093980	31097980	VKORC1	-	8	Housekeeping	31095980	41.0	0.22605778640190977
chr16	46971674	46975674	DNAJA2	-	2	Housekeeping	46973674	9.0	0.40738485214816933
chr16	48242300	48246300	LONP2	+	2	Housekeeping	48244300	4.0	0.21715358097452508
chr16	48618148	48622148	N4BP1	-	6	Housekeeping	48620148	4.0	0.19844866666666405
chr16	56450199	56454199	NUDT21	-	1	Housekeeping	56452199	20.0	0.13688515326066408
chr16	56930142	56934142	HERPUD1	+	1	Housekeeping	56932142	27.0	2.571742629913274
chr16	57243259	57247259	ARL2BP	+	4	Housekeeping	57245259	21.0	1.1030548820322394
chr16	57460660	57464660	POLR2C	+	1	Housekeeping	57462660	19.0	1.1276758306394186
chr16	57997546	58001546	USB1	+	0	Housekeeping	57999546	17.0	0.9959716479390579
chr16	58196106	58200106	CSNK2A2	-	1	Housekeeping	58198106	15.0	0.5119995485551954
chr16	66749609	66753609	DYNC1LI2	-	1	Housekeeping	66751609	35.0	0.062020471199843996
chr16	66932423	66936423	CIAO2B	-	2	Housekeeping	66934423	39.0	0.31378830246907796
chr16	67190155	67194155	E2F4	+	3	Housekeeping	67192155	41.0	0.13540845944390867
chr16	67225103	67229103	TMEM208	+	0	Housekeeping	67227103	41.0	0.1403465747689836
chr16	67479181	67483181	ATP6V0D1	-	2	Housekeeping	67481181	45.0	0.0863252957468319
chr16	67804560	67808560	RANBP10	-	4	Housekeeping	67806560	36.0	0.019876401690197554
chr16	67840320	67844320	THAP11	+	3	Housekeeping	67842320	36.0	0.01746452885569738
chr16	67844882	67848882	NUTF2	+	3	Housekeeping	67846882	36.0	0.01727504700738791
chr16	68243304	68247304	PLA2G15	+	2	Housekeeping	68245304	27.0	0.20790247038050325
chr16	69130588	69134588	CHTF8	-	0	Housekeeping	69132588	19.0	0.13215640205629597
chr16	69396402	69400402	CYB5B	+	8	Housekeeping	69398402	19.0	0.6445272550755021
chr16	69752926	69756926	NOB1	-	5	Housekeeping	69754926	18.0	0.09124944477164831
chr16	70344861	70348861	DDX19A	+	9	Housekeeping	70346861	14.0	0.022884341957905008
chr16	72091613	72095613	DHX38	+	2	Housekeeping	72093613	13.0	0.09557695142561329
chr16	74294814	74298814	PSMD7	+	4	Housekeeping	74296814	7.0	0.11603794844887716
chr16	74605144	74609144	GLG1	-	1	Housekeeping	74607144	8.0	0.048312304176931775
chr16	74998173	75002173	WDR59	-	0	Housekeeping	75000173	14.0	0.6335617853039821
chr16	75431503	75435503	CFDP1	-	4	Housekeeping	75433503	20.0	0.11879433257035998
chr16	75564375	75568375	GABARAPL2	+	2	Housekeeping	75566375	18.0	0.22817400411867084
chr16	75645773	75649773	TERF2IP	+	6	Housekeeping	75647773	17.0	0.2544715797732522
chr16	83717311	83721311	HSBP1	+	1	Housekeeping	83719311	9.0	2.6963104003651495
chr16	85009535	85013535	ZDHHC7	-	5	Housekeeping	85011535	8.0	1.697078020162479
chr16	85797608	85801608	EMC8	-	2	Housekeeping	85799608	4.0	1.4134059505086327
chr16	87381953	87385953	MAP1LC3B	+	6	Housekeeping	87383953	7.0	0.9143207552801869
chr16	88568403	88572403	ZC3H18	+	3	Housekeeping	88570403	15.0	1.631401405587951
chr16	88809937	88813937	APRT	-	1	Housekeeping	88811937	19.0	2.1620275330420213
chr16	89558677	89562677	RPL13	+	5	Housekeeping	89560677	24.0	1.3144648105625834
chr16	89718400	89722400	ZNF276	+	2	Housekeeping	89720400	21.0	0.5676549197858094
chr16	89871570	89875570	TCF25	+	5	Housekeeping	89873570	21.0	0.35626831403845927
chr17	780353	784353	MRM3	+	4	Housekeeping	782353	12.0	2.2205951994572337
chr17	995129	999129	TIMM22	+	6	Housekeeping	997129	12.0	6.662390989000864
chr17	1461162	1465162	CRK	-	8	Housekeeping	1463162	19.0	1.794456248239209
chr17	1682867	1686867	PRPF8	-	6	Housekeeping	1684867	21.0	2.7402076560570787
chr17	1827702	1831702	RPA1	+	5	Housekeeping	1829702	20.0	0.8504489748951549
chr17	2040022	2044022	OVCA2	+	1	Housekeeping	2042022	20.0	2.867791437671512
