ndd_gene	matched_hk_gene	ndd_gc	hk_gc	ndd_genedens	hk_genedens	ndd_recomb	hk_recomb	ndd_alu_density	hk_alu_density
NPRL2	HMGN2	0.562	0.561	29.0	29.0	0.141	0.126	0.5	0.25
PHF7	CNP	0.57	0.576	38.0	38.0	0.078	0.11	0.25	0.25
CACNA1D	PSMA3	0.396	0.404	11.0	8.0	0.039	0.074	1.0	0.25
CACNA2D3	PCSK7	0.615	0.555	4.0	13.0	2.753	1.603	0.0	0.0
ASB14	COPS2	0.362	0.41	10.0	8.0	0.121	0.052	0.25	0.0
FHIT	MED10	0.457	0.472	1.0	4.0	1.504	1.526	0.0	0.25
FEZF2	U2AF1	0.544	0.501	1.0	9.0	3.949	2.805	0.0	0.0
CADPS	STIM1	0.555	0.546	1.0	13.0	2.33	1.979	0.0	0.25
PSMD6	MRPS28	0.459	0.463	5.0	5.0	0.323	0.318	0.75	0.75
PRICKLE2	RNF7	0.525	0.473	2.0	7.0	4.348	3.28	0.25	0.25
FOXP1	MRPL18	0.562	0.539	4.0	9.0	1.984	1.265	0.0	0.5
CNTN3	NAPG	0.504	0.483	0.0	1.0	1.086	1.096	0.5	0.5
ROBO2	FBXL5	0.376	0.412	2.0	8.0	0.739	0.378	0.0	0.25
GBE1	PBDC1	0.447	0.44	0.0	2.0	0.058	0.147	0.0	0.5
CADM2	RPL15	0.495	0.49	0.0	3.0	0.214	0.139	0.0	0.0
DRD3	COX17	0.345	0.416	8.0	13.0	1.644	1.015	1.0	0.25
ZBTB20	RNF11	0.498	0.507	1.0	6.0	0.031	0.077	0.25	0.25
FBXO40	DDX47	0.426	0.452	9.0	14.0	2.473	2.66	0.75	0.75
ADCY5	TRAPPC3	0.684	0.628	5.0	17.0	3.583	0.946	0.0	0.25
RAB43	LRRC41	0.601	0.594	18.0	19.0	0.048	0.288	0.5	0.75
ISY1-RAB43	SEC22C	0.476	0.479	18.0	18.0	0.017	0.055	0.25	0.75
MBD4	MRPS16	0.467	0.468	16.0	16.0	0.218	0.147	0.25	0.25
UBA5	MRPL22	0.39	0.414	8.0	7.0	0.077	0.25	0.0	1.0
PCCB	N4BP1	0.489	0.486	2.0	4.0	0.054	0.198	0.75	1.5
SLC9A9	SSR3	0.375	0.421	1.0	2.0	1.269	1.094	0.25	0.5
DIPK2A	UBE2R2	0.558	0.561	1.0	8.0	0.139	0.106	0.0	0.5
MED12L	DYNLL2	0.589	0.596	13.0	19.0	1.68	1.375	0.25	0.0
SERPINI1	TMBIM4	0.465	0.458	5.0	5.0	0.238	0.236	0.0	0.75
NLGN1	TARDBP	0.507	0.518	1.0	9.0	2.532	2.401	0.0	1.25
NAALADL2	AASDHPPT	0.362	0.417	0.0	3.0	0.343	0.432	0.0	0.0
TBL1XR1	TMX4	0.448	0.462	0.0	2.0	3.05	3.068	1.25	0.0
YEATS2	MRTO4	0.52	0.518	15.0	14.0	0.417	0.415	1.0	1.25
DVL3	ZNHIT1	0.571	0.566	25.0	23.0	0.595	0.835	0.5	1.0
AP2M1	TMEM258	0.506	0.503	25.0	26.0	1.119	1.195	0.25	1.0
ACAP2	TPT1	0.51	0.509	7.0	8.0	0.958	1.003	0.5	1.0
MUC4	RACK1	0.58	0.548	10.0	11.0	0.942	0.731	0.75	1.0
TM4SF19-DYNLT2B	HIGD1A	0.492	0.492	18.0	19.0	0.24	0.361	1.25	0.0
TM4SF19	PITHD1	0.486	0.484	18.0	19.0	0.239	0.144	1.0	0.5
PAK2	POLR2C	0.488	0.488	18.0	19.0	1.13	1.128	0.25	0.25
DLG1	USP48	0.544	0.531	9.0	12.0	2.086	1.653	0.25	1.0
NSD2	AGPAT3	0.618	0.622	14.0	17.0	0.533	0.561	0.5	0.5
GRK4	PDCD6	0.557	0.558	12.0	11.0	0.341	0.219	0.25	0.5
KIAA0232	MRFAP1	0.562	0.515	12.0	14.0	4.759	3.106	0.0	0.75
CPZ	NCLN	0.614	0.578	7.0	29.0	5.4	3.702	0.0	0.75
BST1	HIPK1	0.501	0.504	8.0	8.0	0.652	0.724	0.5	0.25
CD38	TPP2	0.468	0.474	9.0	10.0	0.686	0.697	0.0	0.25
GABRA4	VAMP3	0.484	0.49	4.0	5.0	0.555	0.526	0.25	0.25
SCFD2	SDCBP	0.43	0.428	3.0	3.0	0.153	0.186	0.25	0.0
CEP135	MED21	0.467	0.465	9.0	8.0	0.388	0.377	0.5	0.5
ANKRD17	KPNA4	0.497	0.501	6.0	7.0	0.162	0.136	0.25	0.0
G3BP2	ARMCX3	0.475	0.469	14.0	13.0	0.174	0.217	0.5	0.0
SCARB2	MRPL47	0.416	0.436	13.0	10.0	2.054	1.788	0.5	1.25
HNRNPD	RAB1A	0.514	0.513	5.0	5.0	0.75	0.786	0.5	0.5
WDFY3	COX5B	0.492	0.507	2.0	6.0	0.031	0.086	0.25	0.25
SPARCL1	RPF1	0.394	0.42	11.0	9.0	1.363	0.781	0.0	0.5
CCSER1	LPGAT1	0.5	0.508	2.0	6.0	0.094	0.063	0.0	0.0
GRID2	RAB5A	0.472	0.473	0.0	4.0	0.578	0.544	0.0	0.0
EIF4E	SUMO1	0.5	0.498	8.0	8.0	0.194	0.1	0.5	1.0
DAPP1	RTF2	0.444	0.45	11.0	10.0	0.834	0.947	0.5	0.5
PPP3CA	RNF103-CHMP3	0.58	0.563	2.0	9.0	0.105	0.091	0.0	0.0
TET2	TSPAN3	0.488	0.495	2.0	5.0	0.583	0.363	0.25	0.75
TBCK	CGGBP1	0.447	0.44	4.0	5.0	0.08	0.033	0.25	0.25
ANK2	IFRD1	0.407	0.428	3.0	6.0	0.68	0.695	0.25	0.25
MFSD8	STAU1	0.536	0.531	7.0	7.0	0.014	0.133	0.5	0.75
PCDH10	NIFK	0.535	0.522	0.0	3.0	0.983	0.613	0.0	0.5
NAA15	CDC16	0.449	0.447	7.0	7.0	0.265	0.227	0.0	0.0
ABCE1	ODR4	0.441	0.434	5.0	5.0	0.014	0.075	1.0	0.25
ZNF827	CD59	0.522	0.509	5.0	8.0	2.887	1.997	0.25	0.75
PRMT9	DIMT1	0.452	0.457	3.0	4.0	0.102	0.143	1.0	0.75
NR3C2	MRPL14	0.611	0.574	0.0	19.0	2.891	2.065	0.0	0.5
LRBA	MFSD14B	0.505	0.507	5.0	7.0	0.09	0.08	0.75	1.0
FGA	CDC27	0.382	0.444	6.0	11.0	1.842	1.946	0.25	0.25
TDO2	PYURF	0.359	0.444	5.0	8.0	2.012	1.996	0.0	0.25
GRIA2	ASNSD1	0.375	0.421	2.0	11.0	0.957	0.592	0.75	0.75
FAT1	RNF139	0.509	0.488	3.0	6.0	2.393	1.804	0.25	0.0
FRG1	HNRNPA3	0.47	0.476	2.0	4.0	0.159	0.229	0.0	0.5
EXOC3	RPL10A	0.566	0.558	15.0	15.0	1.401	1.228	0.5	0.5
SLC6A3	FN3KRP	0.63	0.57	10.0	18.0	2.803	1.612	0.5	1.0
SEMA5A	QSOX1	0.606	0.538	1.0	8.0	1.865	1.112	0.0	0.0
CTNND2	DEK	0.549	0.541	0.0	5.0	0.936	0.433	0.0	0.25
TRIO	VPS26B	0.624	0.563	2.0	9.0	0.67	0.241	0.0	0.25
CDH10	BTF3	0.352	0.439	0.0	6.0	1.547	1.456	0.0	0.5
CDH9	PRDM4	0.488	0.483	0.0	4.0	1.553	1.7	1.0	0.75
NIPBL	OTUD4	0.51	0.521	3.0	6.0	0.095	0.059	0.0	0.25
NUP155	HERPUD2	0.441	0.444	4.0	3.0	0.066	0.248	0.75	0.5
HCN1	NPM1	0.514	0.522	0.0	3.0	0.066	0.6	0.0	1.0
TRIM23	PSMA6	0.438	0.435	8.0	8.0	0.118	0.116	0.75	1.5
ERBIN	SSB	0.393	0.435	9.0	12.0	1.27	0.831	0.75	1.0
MAP1B	SELENOS	0.535	0.509	4.0	7.0	1.772	1.47	0.0	1.0
HOMER1	DYNC1LI1	0.491	0.484	8.0	8.0	1.263	1.275	0.25	0.25
MEF2C	COMMD3-BMI1	0.316	0.419	0.0	6.0	1.048	0.267	0.0	0.0
NR2F1	DCAF5	0.578	0.563	1.0	9.0	0.069	0.085	0.0	0.0
CHD1	THAP12	0.522	0.532	1.0	6.0	0.239	0.437	0.25	0.0
CAMK4	DCTN6	0.489	0.481	5.0	5.0	0.508	0.434	0.0	0.75
YTHDC2	PSMD14	0.441	0.43	2.0	3.0	0.125	0.032	0.0	0.5
MEGF10	PRCP	0.463	0.46	5.0	6.0	0.285	0.163	0.0	0.25
P4HA2	MAPKAPK2	0.594	0.587	18.0	18.0	0.385	0.204	0.25	0.0
PITX1	ZNF276	0.637	0.638	12.0	21.0	1.486	0.568	0.0	0.5
KDM3B	PCMT1	0.51	0.513	16.0	16.0	0.085	0.054	0.0	1.0
PURA	URGCP-MRPS24	0.506	0.503	15.0	16.0	0.443	0.329	0.0	0.5
PCDHA1	TMEM219	0.438	0.472	50.0	45.0	0.102	0.33	0.0	2.0
PCDHA2	RPL41	0.442	0.48	50.0	47.0	0.104	0.298	0.0	0.75
PCDHA3	SARNP	0.407	0.458	50.0	46.0	0.204	1.103	0.0	0.25
PCDHA4	MRPL51	0.442	0.463	50.0	41.0	0.315	0.7	0.0	0.0
PCDHA5	BAG6	0.399	0.508	51.0	62.0	0.304	0.537	0.0	1.0
PCDHA6	PA2G4	0.431	0.494	51.0	47.0	0.306	0.307	0.0	0.25
PCDHA7	AGPAT1	0.449	0.506	52.0	52.0	0.308	0.898	0.0	0.0
PCDHA8	ESYT1	0.444	0.502	53.0	47.0	0.297	0.296	0.25	0.0
PCDHA9	LSM2	0.41	0.498	53.0	69.0	0.299	0.125	0.25	2.25
PCDHA10	DPP7	0.434	0.516	55.0	62.0	0.301	1.128	0.25	1.25
PCDHA11	BCL2L2	0.361	0.461	56.0	36.0	0.3	1.157	0.0	0.25
PCDHA12	GABARAP	0.437	0.53	58.0	63.0	0.304	0.476	0.25	0.0
PCDHA13	RPS11	0.45	0.531	58.0	57.0	0.29	0.715	0.0	1.25
PCDHAC1	DVL2	0.525	0.543	65.0	63.0	0.272	0.588	0.75	0.5
PCDHAC2	FXR2	0.535	0.552	66.0	65.0	0.503	0.559	0.0	1.5
RBM27	LSM3	0.472	0.47	9.0	9.0	0.877	0.833	1.0	0.5
DPYSL3	SRPRB	0.505	0.51	6.0	7.0	0.699	0.616	0.25	0.25
ADRB2	DYNLT3	0.493	0.464	5.0	11.0	4.437	4.02	0.25	0.5
CAMK2A	PRPF8	0.541	0.522	18.0	21.0	3.437	2.74	0.25	1.5
GRIA1	SPCS3	0.458	0.456	0.0	5.0	2.11	1.715	0.0	0.0
GALNT10	UTP18	0.575	0.555	5.0	8.0	0.644	0.102	0.25	0.5
CYFIP2	ADD1	0.541	0.531	15.0	13.0	0.941	0.977	0.25	0.75
GABRB2	MTDH	0.519	0.527	3.0	7.0	0.275	0.216	0.0	0.75
GABRA1	ZC3H15	0.406	0.414	3.0	3.0	0.306	0.14	0.0	0.0
GABRG2	HMGN3	0.372	0.42	3.0	4.0	0.312	0.167	0.5	0.0
CCNG1	NDUFA12	0.45	0.45	3.0	5.0	0.368	0.484	0.5	1.25
NUDCD2	MRPL32	0.456	0.468	3.0	4.0	0.41	0.474	0.75	0.75
RANBP17	SUB1	0.483	0.473	3.0	4.0	0.643	0.732	0.25	1.75
CPEB4	SARAF	0.48	0.48	3.0	4.0	0.339	0.293	0.0	0.5
DRD1	ICMT	0.585	0.561	3.0	20.0	3.591	2.663	0.25	1.25
TSPAN17	TOMM6	0.603	0.576	18.0	20.0	1.81	1.494	0.0	0.75
UIMC1	KPNA6	0.502	0.503	25.0	25.0	0.051	0.055	1.0	1.5
NSD1	CTDSP1	0.628	0.609	23.0	24.0	1.083	1.246	0.0	0.25
ELOVL2	NCBP2	0.539	0.541	13.0	13.0	0.99	1.207	0.5	1.0
JARID2	SFSWAP	0.517	0.527	1.0	6.0	0.506	0.605	0.0	0.0
NHLRC1	PPP2R5E	0.492	0.488	6.0	6.0	1.331	1.259	0.75	0.0
KDM1B	SH3GLB1	0.493	0.496	6.0	7.0	0.473	0.333	0.75	0.25
ALDH5A1	SLC25A38	0.511	0.511	11.0	11.0	0.601	0.62	0.25	0.75
H2BC11	WASHC3	0.464	0.46	9.0	9.0	0.096	0.072	0.5	1.0
HLA-G	PSMD8	0.514	0.517	25.0	25.0	0.653	0.89	0.5	1.5
HLA-A	POLD2	0.503	0.497	22.0	20.0	1.407	1.558	0.5	1.0
HLA-B	RNASEK	0.429	0.504	57.0	53.0	1.313	2.209	0.25	0.5
C4B	EIF4A1	0.565	0.565	69.0	65.0	0.347	0.435	0.0	0.0
HLA-DRB1	OS9	0.421	0.445	35.0	33.0	0.526	0.279	0.75	0.5
HLA-DPB1	MOB1A	0.407	0.474	38.0	34.0	1.813	1.453	0.0	1.0
SYNGAP1	RBM14	0.551	0.544	33.0	32.0	0.076	0.033	0.0	0.75
GLO1	ESD	0.464	0.45	4.0	3.0	3.329	3.456	0.75	0.25
LRFN2	PPP2R5A	0.589	0.55	4.0	8.0	0.616	0.207	0.0	0.25
PPP2R5D	FLOT2	0.553	0.546	28.0	28.0	0.429	0.515	1.25	0.5
CUL7	MAU2	0.553	0.558	31.0	32.0	0.201	0.075	0.75	1.0
PTK7	TRMT112	0.594	0.586	32.0	33.0	0.212	0.131	0.0	0.5
SLC25A27	CUTC	0.414	0.43	9.0	12.0	0.359	0.119	0.0	0.75
LRRC1	ARF5	0.541	0.539	4.0	7.0	0.175	0.278	0.0	0.25
DST	ADI1	0.534	0.53	6.0	8.0	0.195	0.042	0.0	0.5
KIAA1586	RABGGTB	0.434	0.432	6.0	5.0	0.348	0.308	0.0	1.25
KHDRBS2	FAM174A	0.411	0.426	0.0	2.0	0.099	0.06	0.0	0.0
PHF3	NMD3	0.472	0.474	4.0	5.0	0.118	0.217	0.0	0.5
RIMS1	PEBP1	0.513	0.518	0.0	6.0	0.55	0.578	0.0	1.75
HTR1B	HECTD1	0.546	0.528	1.0	8.0	1.073	0.612	0.0	0.5
PHIP	PAIP1	0.499	0.503	4.0	7.0	0.101	0.042	0.0	0.25
SYNCRIP	HNRNPA0	0.582	0.56	3.0	10.0	0.064	0.048	0.5	0.5
ZNF292	TSNAX	0.468	0.462	10.0	10.0	0.317	0.317	0.5	0.25
CNR1	SMIM12	0.551	0.496	2.0	12.0	3.521	3.236	0.0	0.5
USP45	EBAG9	0.454	0.458	7.0	7.0	0.229	0.154	1.5	0.25
GRIK2	PSMD10	0.332	0.426	2.0	9.0	0.168	0.017	0.0	0.25
HS3ST5	HABP4	0.56	0.548	2.0	9.0	0.112	0.043	0.0	0.25
FRK	SLIRP	0.401	0.426	10.0	14.0	0.125	0.137	0.25	0.25
NUS1	DUT	0.508	0.511	6.0	6.0	0.32	0.407	0.5	0.75
PLN	FCF1	0.296	0.413	3.0	19.0	0.047	0.075	0.0	0.75
MED23	STRAP	0.41	0.432	7.0	4.0	0.94	0.989	0.0	0.25
PEX7	RPL14	0.481	0.476	6.0	6.0	0.169	0.22	1.0	1.25
HIVEP2	GHITM	0.377	0.446	3.0	6.0	1.664	2.026	0.5	0.25
EPM2A	ARMC1	0.456	0.46	3.0	4.0	0.073	0.082	0.25	1.75
STXBP5	GNG10	0.513	0.521	1.0	8.0	1.103	0.972	0.0	0.25
SASH1	BPGM	0.421	0.454	1.0	6.0	1.829	1.649	0.75	0.75
SYNE1	NSMCE4A	0.53	0.52	5.0	7.0	0.696	0.73	0.75	0.75
ARID1B	PWP1	0.456	0.475	0.0	4.0	1.13	1.047	0.0	1.0
PRKN	EMC2	0.434	0.428	1.0	3.0	0.157	0.085	0.25	0.0
RPS6KA2	GATAD1	0.534	0.48	9.0	12.0	3.468	2.765	0.0	0.25
DLL1	SIAH2	0.536	0.535	4.0	10.0	1.239	1.23	0.0	0.0
PRKAR1B	RANBP1	0.63	0.652	12.0	21.0	1.596	0.52	0.25	0.0
BRAT1	RPL23	0.56	0.554	14.0	18.0	2.816	2.306	1.5	0.75
CARD11	SELENOW	0.549	0.568	6.0	23.0	4.343	2.827	0.5	1.75
SLC29A4	TMEM184B	0.574	0.564	12.0	25.0	3.786	2.85	0.75	0.5
ACTB	CD320	0.552	0.568	14.0	27.0	3.561	3.174	2.0	1.0
GRID2IP	RPS19BP1	0.519	0.526	15.0	17.0	1.141	1.062	2.0	0.25
COL28A1	MRPL15	0.362	0.43	5.0	6.0	0.611	0.479	0.0	0.75
ICA1	MRFAP1L1	0.48	0.451	2.0	13.0	6.046	4.343	0.0	0.0
NXPH1	ILKAP	0.546	0.549	2.0	12.0	1.508	1.128	0.0	0.5
AGMO	CDC37L1	0.359	0.444	1.0	7.0	2.087	3.387	0.25	0.25
NFE2L3	PDCD6-AHRR	0.559	0.561	3.0	11.0	0.804	0.219	0.0	0.5
PDE1C	RPL32	0.49	0.484	3.0	8.0	2.904	2.135	0.25	1.0
ABCA13	UFL1	0.413	0.423	5.0	4.0	0.159	0.044	0.25	0.0
DDC	CDC123	0.46	0.461	5.0	7.0	0.447	0.523	0.25	1.0
ZNF713	MRPL21	0.509	0.513	11.0	11.0	0.221	0.243	1.75	0.25
KCTD7	HP1BP3	0.558	0.548	6.0	10.0	0.028	0.089	1.75	1.0
AUTS2	TMEM127	0.619	0.58	0.0	16.0	0.057	0.051	0.0	0.25
STX1A	EBNA1BP2	0.598	0.562	20.0	20.0	2.305	2.19	1.0	0.25
GTF2I	SEC62	0.423	0.442	12.0	13.0	1.181	0.861	1.25	0.25
GNAI1	NDUFA4	0.433	0.426	1.0	1.0	0.476	0.545	0.0	0.0
CACNA2D1	WDFY1	0.521	0.503	0.0	6.0	1.457	1.33	0.0	0.25
PCLO	EIF3M	0.418	0.452	1.0	7.0	1.536	1.595	0.0	0.75
ADAM22	PRPF18	0.477	0.471	7.0	7.0	0.842	0.831	0.25	1.0
AKAP9	UBE2D3	0.446	0.442	8.0	8.0	0.054	0.032	0.0	0.5
PON1	USPL1	0.462	0.458	6.0	6.0	0.778	0.83	0.0	0.0
DLX6	ZC3H18	0.56	0.556	3.0	15.0	2.151	1.631	0.0	0.75
TRRAP	ATP6V0B	0.584	0.559	8.0	15.0	1.283	0.807	0.75	0.0
SMURF1	DDRGK1	0.596	0.558	20.0	20.0	2.282	2.036	0.5	1.5
AZGP1	DCTN2	0.464	0.472	39.0	38.0	0.322	0.582	1.25	0.0
TAF6	COPS6	0.514	0.514	41.0	41.0	0.112	0.132	1.75	1.0
GIGYF1	SPAG7	0.582	0.58	39.0	37.0	0.23	0.402	1.25	0.75
ACHE	AURKAIP1	0.635	0.613	41.0	42.0	0.886	0.561	0.75	0.25
MUC12	FKBP8	0.567	0.572	36.0	36.0	1.276	1.309	1.0	1.25
SERPINE1	UBL5	0.529	0.527	27.0	29.0	0.775	0.619	0.75	1.25
CUX1	SUMO3	0.706	0.652	4.0	26.0	1.063	0.585	0.0	0.5
RELN	ZDHHC7	0.534	0.511	2.0	8.0	2.299	1.697	0.0	1.25
KMT2E	INTS12	0.524	0.52	3.0	7.0	0.383	0.46	0.75	0.0
PIK3CG	DAD1	0.382	0.464	3.0	17.0	4.821	4.339	0.0	0.75
LAMB1	PIP5K1C	0.572	0.554	10.0	28.0	4.374	3.129	0.25	0.75
NRCAM	ABHD12	0.588	0.546	5.0	10.0	0.398	0.083	0.0	1.5
IMMP2L	ACTR3	0.484	0.481	1.0	4.0	0.105	0.199	0.25	0.25
DOCK4	CACUL1	0.531	0.521	5.0	8.0	0.829	0.702	0.25	0.5
GPR85	TSR2	0.39	0.458	3.0	8.0	1.808	1.465	0.0	1.25
FOXP2	RPL35	0.602	0.548	1.0	13.0	2.198	1.347	0.0	1.0
MET	DNAJC13	0.456	0.463	6.0	7.0	1.698	1.456	0.0	0.0
ST7	RPL31	0.494	0.5	7.0	7.0	0.771	0.712	0.0	0.5
CTTNBP2	EIF4G2	0.499	0.493	3.0	5.0	1.378	1.216	0.0	0.25
KCND2	UNC50	0.509	0.505	0.0	5.0	0.031	0.459	0.0	0.0
CADPS2	AKIRIN1	0.491	0.492	4.0	7.0	0.722	0.934	0.0	0.5
NDUFA5	BCAS2	0.404	0.433	8.0	9.0	0.118	0.062	0.25	1.0
GPR37	GSPT1	0.552	0.54	2.0	9.0	0.426	0.166	0.25	0.75
POT1	EIF3E	0.41	0.426	2.0	3.0	0.04	0.086	0.5	0.0
SND1	TFG	0.492	0.49	7.0	7.0	0.143	0.19	0.5	0.25
LRRC4	PPP1R7	0.634	0.585	11.0	17.0	0.099	0.593	0.0	0.25
LEP	MRM3	0.532	0.49	9.0	12.0	2.975	2.221	0.25	1.0
UBE2H	PDCD5	0.506	0.504	11.0	11.0	1.782	1.693	0.5	0.75
CEP41	KLHDC10	0.448	0.439	13.0	11.0	0.829	0.569	0.5	0.75
PLXNA4	HINT3	0.426	0.446	1.0	4.0	1.66	1.114	0.0	0.0
UBN2	CMTR1	0.494	0.495	11.0	11.0	0.674	0.618	0.25	0.5
BRAF	SRSF4	0.471	0.475	6.0	6.0	0.12	0.103	0.25	0.5
EPHA1	FAM220A	0.536	0.519	22.0	21.0	2.313	2.226	0.25	2.5
CNTNAP2	HDDC2	0.46	0.467	0.0	4.0	0.84	0.824	0.0	0.25
KMT2C	PSMG2	0.579	0.542	4.0	9.0	0.471	0.065	0.0	0.5
DPP6	GPAT4	0.504	0.51	0.0	6.0	0.468	0.572	0.25	0.75
EN2	RPS21	0.656	0.55	7.0	18.0	4.796	1.738	0.0	0.75
UBE3C	SUSD6	0.56	0.542	5.0	10.0	0.774	0.29	0.75	0.25
DLGAP2	WDR59	0.636	0.558	3.0	14.0	1.151	0.634	0.0	0.0
CLN8	HTATSF1	0.477	0.482	4.0	8.0	2.648	2.075	1.0	0.0
ARHGEF10	SRSF6	0.58	0.527	4.0	9.0	1.515	0.821	0.0	0.25
CSMD1	PGRMC1	0.542	0.521	0.0	10.0	2.674	1.63	0.0	0.25
MCPH1	NUP153	0.494	0.501	4.0	7.0	1.719	1.618	0.75	0.75
MSR1	PPID	0.349	0.437	2.0	6.0	1.214	0.654	0.0	0.5
PCM1	CNOT7	0.464	0.47	7.0	7.0	0.57	0.644	0.0	0.25
PSD3	RTCB	0.499	0.446	1.0	9.0	4.997	3.561	0.25	0.5
EGR3	EEF1D	0.664	0.675	17.0	35.0	3.587	1.884	0.0	0.0
RHOBTB2	NOP53	0.533	0.522	17.0	23.0	2.761	2.85	0.75	1.75
DPYSL2	CSNK2A2	0.592	0.562	5.0	15.0	0.561	0.512	0.0	0.25
KIF13B	ANAPC13	0.498	0.491	3.0	6.0	0.496	0.227	0.75	0.25
DDHD2	CHCHD1	0.453	0.461	17.0	18.0	0.056	0.174	0.75	0.75
FGFR1	SNRPD3	0.58	0.544	11.0	14.0	1.843	1.619	0.5	0.25
KAT6A	PABPC4	0.572	0.547	11.0	12.0	0.445	0.3	0.5	0.75
CHRNB3	DCTN4	0.428	0.441	15.0	17.0	0.628	0.717	0.25	0.0
PRKDC	EIF3J	0.536	0.525	3.0	9.0	0.029	0.083	0.75	0.75
MCM4	HSPE1-MOB4	0.536	0.53	3.0	10.0	0.029	0.017	0.75	0.5
RAB2A	RNF149	0.505	0.511	2.0	7.0	0.043	0.264	0.5	0.75
CHD7	NFX1	0.602	0.547	3.0	12.0	0.755	0.113	0.0	0.5
FABP5	GRHPR	0.52	0.511	10.0	12.0	1.832	1.838	0.0	1.0
CNGB3	TMEM30A	0.361	0.429	5.0	5.0	0.577	0.312	0.25	0.25
RUNX1T1	AIDA	0.502	0.514	0.0	7.0	0.142	0.386	0.0	0.5
SDC2	BRF2	0.532	0.494	5.0	15.0	3.391	2.551	0.25	1.25
VPS13B	NSA2	0.448	0.462	2.0	6.0	0.004	0.061	0.75	0.75
UBR5	OXSR1	0.548	0.537	6.0	12.0	0.169	0.292	0.75	0.5
EXT1	TMEM131	0.545	0.518	0.0	8.0	1.672	0.956	0.25	0.5
TBC1D31	SYF2	0.485	0.48	9.0	9.0	1.782	1.805	0.5	1.0
EFR3A	RP9	0.476	0.481	3.0	4.0	0.808	1.022	0.25	0.75
KCNQ3	MOAP1	0.6	0.524	7.0	11.0	3.309	1.527	0.0	0.5
TRAPPC9	UBB	0.56	0.53	2.0	12.0	2.565	1.423	0.75	1.25
AGO2	UROD	0.638	0.58	4.0	19.0	0.314	0.226	0.0	0.0
CYP11B1	BSDC1	0.5	0.501	26.0	28.0	0.36	0.383	0.0	1.0
EPPK1	KHNYN	0.678	0.623	42.0	44.0	3.637	3.579	0.0	0.0
ZNF517	KRTCAP2	0.565	0.568	32.0	34.0	0.26	0.272	1.0	0.25
DOCK8	EEF1B2	0.49	0.489	4.0	7.0	0.51	0.322	0.5	0.5
KANK1	MRPL46	0.496	0.47	5.0	9.0	2.576	2.185	0.5	0.25
SMARCA2	SAP18	0.42	0.46	0.0	8.0	4.054	3.003	0.0	1.25
RFX3	INTS10	0.502	0.486	0.0	5.0	2.086	1.415	0.0	0.5
SLC1A1	SNRNP35	0.547	0.499	7.0	18.0	3.786	2.945	0.75	2.5
MLANA	CCT2	0.433	0.448	9.0	9.0	0.967	1.016	0.25	0.75
KDM4C	DNAJB9	0.47	0.464	3.0	4.0	0.957	0.835	2.75	0.25
PTPRD	SMAP1	0.474	0.481	0.0	4.0	1.293	1.151	0.0	0.25
NFIB	ABCF2-H2BK1	0.36	0.501	2.0	25.0	5.546	4.862	0.0	0.5
SLC24A2	SMARCA5	0.47	0.474	2.0	4.0	1.682	1.375	0.25	0.5
ELAVL2	ATXN7L3B	0.45	0.447	0.0	0.0	0.782	0.398	0.0	0.5
TEK	PPP1R11	0.382	0.426	8.0	20.0	0.91	0.638	0.25	0.0
PIGO	STOML2	0.53	0.534	24.0	24.0	0.8	0.827	1.25	0.0
CCIN	YIPF3	0.512	0.5	25.0	26.0	1.141	1.21	0.75	0.5
RNF38	B4GALT5	0.579	0.543	7.0	12.0	1.431	0.59	0.0	0.0
PAX5	ATL2	0.541	0.507	5.0	8.0	1.695	1.472	0.0	0.25
CNTNAP3	RPL34	0.441	0.426	1.0	3.0	0.0	0.199	0.25	0.25
GDA	SLC30A9	0.424	0.431	6.0	5.0	0.337	0.241	1.25	0.5
ANXA1	MTX2	0.326	0.439	1.0	11.0	0.884	0.508	0.25	0.5
RORB	MED28	0.498	0.498	2.0	7.0	0.358	0.256	0.0	1.25
PRUNE2	PSMB7	0.474	0.456	3.0	10.0	3.216	2.836	0.0	0.5
HNRNPK	HSPE1	0.529	0.523	8.0	10.0	0.077	0.017	0.25	0.5
PHF2	NUDT16L1	0.668	0.659	7.0	28.0	0.416	0.427	0.0	0.0
GABBR2	MRPL23	0.648	0.661	5.0	28.0	0.69	0.858	0.0	0.0
CYLC2	DUSP11	0.31	0.435	0.0	14.0	1.021	0.326	0.0	1.0
ZNF462	GALNT1	0.544	0.52	1.0	8.0	0.328	0.409	0.0	0.0
FRRS1L	ATP6V0E1	0.495	0.494	9.0	8.0	1.101	1.001	0.25	1.0
ECPAS	PPIA	0.563	0.55	9.0	14.0	0.229	0.155	0.5	1.0
ASTN2	PACSIN2	0.585	0.557	2.0	15.0	0.79	0.562	0.0	0.75
LHX2	SERBP1	0.519	0.501	4.0	6.0	1.286	1.259	0.0	0.0
LMX1B	DNLZ	0.694	0.656	4.0	31.0	1.521	1.59	0.0	0.0
STXBP1	SUPT4H1	0.526	0.516	24.0	21.0	1.264	0.974	1.75	0.25
DNM1	UBXN6	0.597	0.592	33.0	31.0	1.028	1.114	1.0	1.25
SLC27A4	OST4	0.557	0.567	32.0	34.0	0.135	0.179	1.25	0.25
SPTAN1	MRPS7	0.528	0.524	33.0	33.0	0.381	0.359	0.0	0.5
